"","annot","BH.Q","ADJ.P","PER","LAG","AMP"
"11366","Frat1",1,0.549107142857143,18,12,4.52932849416914
"11367","Acsl5",1,0.549107142857143,12,6,15.34900920283
"11368","Zswim4",1,1,18,0,23.7748449912403
"11369","Amt",1,0.549107142857143,18,15,48.3670123041145
"11370","Dgat2",1,1,24,12,49.6760643852311
"11371","Tgfb1i1",1,1,18,12,7.71968898886986
"11372","Fam220a",1,1,18,6,3.2851231377898
"11373","4833422C13Rik",1,1,18,9,1.79935502381427
"11374","Osbpl10",1,1,24,6,17.6839533668619
"11375","Gm12411",1,1,24,15,8.4413903192284
"11376","Slx1b",1,1,24,6,11.4861076335629
"11377","Cd37",1,1,24,0,1.05135274322875
"11378","Smarca5-ps",1,0.549107142857143,12,6,6.29676227310699
"11379","Pdgfd",1,1,24,18,9.73872526400634
"11380","Ap3b2",1,1,24,6,70.8419691810908
"11381","Tdrd6",1,0.549107142857143,12,6,2.46048401534738
"11382","Spata1",1,1,18,9,4.35192865703292
"11383","Fgd1",1,1,18,0,24.0967598976134
"11384","Stac2",1,0.549107142857143,18,0,42.9672649372444
"11385","Haus5",1,1,24,9,8.72604519396067
"11386","Shisa5",1,1,24,6,13.0060939068565
"11387","Mro",1,0.549107142857143,18,12,22.1769076194405
"11388","Dvl3",1,1,18,15,77.9500987331425
"11389","2810455O05Rik",1,0.127232142857143,12,3,8.36119951050305
"11390","Sema3a",1,0.0495535714285714,18,9,22.7708945579001
"11391","Ttc23",1,0.0495535714285714,18,6,3.22172467162388
"11392","4921531C22Rik",1,0.549107142857143,18,12,10.6812658986394
"11393","Etfbkmt",1,1,18,9,10.8396807506548
"11394","Gm5602",1,0.549107142857143,18,0,2.58066114620408
"11395","Cmtm6",1,1,18,9,26.5916269527734
"11396","Gm973",1,1,24,6,12.6850542992019
"11397","Clec11a",1,1,12,0,6.15777271562187
"11398","C230014O12Rik",1,0.978125,18,15,6.91606784608444
"11399","Ogg1",1,1,24,12,3.37103381758436
"11400","Atosb",1,1,24,12,39.9917198937978
"11401","Atg5",1,1,24,18,23.3940072802665
"11402","Gm11434",1,1,18,0,3.24997248043895
"11403","Tm2d3",1,1,24,12,31.2204027803313
"11404","Rbm15b",1,1,12,0,10.7244309492061
"11405","6330549D23Rik",1,1,18,0,4.34696488732532
"11406","Zfp605",1,1,24,6,6.83364825797195
"11407","Kcnj14",1,1,18,0,5.54424380267156
"11408","Sertm2",1,0.280357142857143,12,6,6.78613823155189
"11409","Pafah2",1,0.0495535714285714,18,6,19.7798630051168
"11410","Gnpnat1",1,1,12,6,17.6220531201735
