"annot","pVal","phase","peak.shape","period"
"Atoh8",9.07451003256194e-06,6,6,12
"Acot4",5.45779944086698e-11,14,10,24
"Esr1",1.44948871939843e-12,18,14,24
"Irs1",8.59501344545402e-07,6,6,24
"Fabp2",0.00781573983609391,6,20,24
"Gstt2",8.59285556770421e-10,10,16,24
"Ckm",0.123684604991729,10,16,24
"Trim24",3.61087359894928e-12,12,14,24
"Moxd1",4.9653948232244e-06,2,8,24
"Josd2",3.09002028015842e-14,2,6,24
"Cyp2b9",5.08304631926001e-07,6,20,24
"Slc23a2",1.68519191285713e-11,8,10,24
"Pkm",0.287078101192119,10,10,12
"Gnat1",1.56468497853872e-15,10,12,24
"Klhdc7a",3.99052863300523e-16,8,12,24
"Gm3734",0.000298227026723537,22,18,24
"Junb",8.55170116576988e-09,10,10,24
"Serpine2",0.00634289880816424,2,8,22
"Kdr",0.291587225479459,10,4,12
"Pltp",0.14344499555493,8,8,16
"A730008H23Rik",0.116203809580551,8,6,12
"Hspb6",0.0916005027168786,10,14,24
"Sdr9c7",4.53640519709288e-11,4,8,24
"Hyi",8.51904035586731e-06,6,20,24
"Zfp809",0.000680650458810424,16,16,22
"Enho",0.000220578763490105,24,14,24
"Lnx2",1.35181733186522e-16,24,8,24
"Per3",6.1485648464682e-25,10,18,24
"Ryr1",0.00977008630580522,10,14,24
"Rhbg",0.277222893259807,20,10,24
"Tacc2",0.00213776376727435,6,14,24
"Ctss",0.0227202946392917,14,4,16
"Irgq",9.16447602150188e-12,24,8,24
"Plxna2",9.27122186420213e-12,24,14,24
"Ptpn21",4.43500802418664e-06,18,18,24
"Arhgef10l",4.57658375158225e-09,6,6,24
"Zfhx4",6.09042019533134e-07,6,4,24
"Des",0.650404525792657,10,12,24
"Slc10a2",3.30864370877138e-05,18,14,24
"1810008I18Rik",1.67137822738147e-07,4,12,24
"Obscn",0.0105231191223148,10,20,24
"Gorasp1",6.28994630673446e-06,12,6,24
"Msn",0.921160202902547,10,10,12
"Dhrs7",1.84249292679354e-09,14,10,24
"Mup16",0.110792112379984,10,8,16
"Aifm2",7.14139024876256e-11,14,14,24
"Ppfibp1",2.27001323593522e-14,8,6,24
"Myh14",3.1227512524322e-10,10,8,24
"Ybx3",2.45564599659459e-05,16,16,24
"Hspa4l",4.383488641088e-09,16,18,24
"Pfkm",1.1456245719562e-09,10,8,24
"Timp3",9.73938025190892e-07,18,12,22
"Ddhd2",7.05373528175797e-12,14,12,24
"Nmrk1",1.30390259240075e-20,14,14,24
"Extl1",0.000365845134676685,2,18,24
"Carmil1",4.8585969499614e-07,8,10,24
"Jun",1.41609298190763e-05,2,6,12
"Wdr91",5.43642415651028e-16,22,14,24
"Abcd1",2.83173952572794e-11,10,16,24
"Cdh5",0.405815527445629,10,8,12
"Vim",0.0184548867753405,2,4,12
"Eif1a",3.6771546927851e-06,2,8,24
"Spata2l",2.79214712297714e-09,8,16,24
"Lad1",1.00436446886963e-06,16,18,24
"Gstp-ps",1.50934188618325e-05,2,8,24
"Gm12909",8.13397887619019e-05,6,6,12
"Pnp",1.85945891348537e-17,24,14,24
"Fbxo6",5.86241205455846e-18,4,12,24
"Selenos",1.97561886610568e-06,2,8,24
"Zfhx3",0.309282069837964,24,10,24
"Rcbtb2",1.44436645991649e-06,6,12,24
"Aatk",0.0314519333639397,14,14,24
"Samhd1",0.00457428597390315,16,2,16
"Tshz2",0.0452570356170348,2,14,24
"Ypel2",3.48983500707336e-10,2,10,24
"Frmd8",2.37061590278331e-08,12,6,24
"Nrp2",0.201663013944528,6,6,16
"Kdm5b",0.000205315804274936,24,18,24
"Stx4a",5.22062968365916e-14,6,8,24
"Gtf2ird1",4.89812122997305e-18,2,10,24
