"annot","pVal","phase","peak.shape","period"
"Stab2",0.0138148364241981,8,4,16
"Dyrk1b",4.00287498448362e-10,8,8,24
"Prr16",1.40515942708815e-05,16,18,24
"Jade1",1.04956572659321e-19,8,14,24
"Pstpip2",1.36421431368381e-08,2,12,24
"Ube2g2",8.33086409606654e-07,2,6,24
"Cd36",0.0258263181868256,6,6,16
"9030622O22Rik",0.0424614938954206,6,8,24
"Carmil1",4.76277890580009e-11,8,8,24
"Tbc1d2b",0.000242245950933941,16,14,24
"Gnat1",8.21390769376036e-19,8,16,24
"Gda",1.58282996536586e-10,16,14,24
"Eif1a",1.2302947633933e-11,2,6,24
"Trim2",1.191634711172e-17,2,10,24
"Ces2c",0.0503540570579641,16,10,24
"Idh3a",1.1431830395202e-06,16,14,24
"Spp1",0.0108647495095593,12,12,16
"Dipk2a",3.37715372717327e-06,16,16,24
"Mical2",4.01490350448922e-15,2,8,24
"Fgfrl1",4.70476462203739e-09,10,16,24
"Per3",1.29864679637939e-27,12,16,24
"Mup19",0.00206543862549773,10,8,24
"Avpr1a",2.76565470759985e-24,2,12,24
"Gas2",9.5329816932892e-07,8,8,24
"Arhgef10l",7.79065984422596e-09,6,10,24
"Nceh1",6.50157406942194e-12,12,14,24
"Arhgef26",1.85240767166514e-07,14,12,24
"Lpl",0.00501839312954255,10,12,16
"Tnfaip8l1",6.72200104275587e-09,8,12,24
"Nfil3",1.01653634373585e-18,2,10,24
"Tpm1",0.00111774629502516,10,12,16
"Csf1r",0.155677639700012,4,10,16
"Txnip",6.53877209451602e-09,10,14,24
"Pdzk1",0.0655609484118637,16,6,24
"Shld2",1.86881072968952e-09,14,18,24
"Ptp4a1",6.60235240517007e-12,14,16,24
"Nhlrc2",1.34857607958274e-12,14,14,24
"Srm",3.0242178391273e-10,16,16,24
"Esrra",1.83826130970323e-10,14,16,24
"Pex26",3.81998103779542e-12,12,16,24
"Irf1",2.51349582179502e-05,8,10,24
"Cobl",0.0196164491692241,16,12,24
"Fitm1",0.264430282725193,8,4,16
"Tgfbi",5.25854464443903e-05,6,6,16
"Rai14",6.23868557678027e-20,2,10,24
"Reps2",0.0608977790777179,4,6,16
"Rnf43",1.01534296772441e-05,10,8,24
"Uap1",4.62606344867735e-06,2,8,12
"Mpv17l",0.000881784593478707,16,14,24
"Slc17a4",7.913932187176e-06,6,6,24
"Szt2",1.15561883791639e-14,2,8,24
"Pitpnc1",3.57975029776766e-16,14,10,24
"Car14",1.27945333857286e-08,24,14,24
"Nxpe2",0.000759085565475042,8,12,24
"Col4a2",0.494779170217652,8,8,22
"Rusc2",1.17290989284781e-14,16,16,24
"Paox",4.66040294577972e-07,2,14,24
"Slc10a2",7.77857676332897e-05,20,14,24
"Fam149a",7.31213158187592e-15,2,12,24
"Vipr1",2.34897235429001e-06,6,6,16
"Ank",3.09580720543276e-10,14,12,24
"Irs1",3.04994496197242e-06,2,12,24
"Tmem131l",3.26128023390079e-15,8,18,24
"Nfkbia",9.70612314569998e-11,10,14,24
"Per1",2.45208461063746e-21,14,14,24
"Mup18",0.164381274083247,16,4,16
"Dnase2b",1.53768633475008e-05,8,16,24
"Gm12909",2.20448606272749e-08,6,10,24
"Dusp1",7.10633480422612e-12,14,18,24
"Gfpt1",4.56625207356901e-09,4,6,12
"Atf6b",3.03169960230748e-10,4,6,24
