,Gene_ID,Period,Period_null,Lengthscale,Lengthscale_null,Var,Var_null,Noise,Noise_null
0,Selenbp2,24.0,300.0,2.709407329559326,8.0,0.5593169927597046,0.05000000074505806,0.13547350466251373,0.9971272349357605
1,Serpina4-ps1,24.0,300.0,3.195045232772827,8.0,0.493926078081131,0.05000000074505806,0.12331680953502655,0.9703810214996338
2,Acta1,12.0,300.0,2.0,8.154576301574707,1.703089952468872,0.05000000074505806,0.13612984120845795,0.9919632077217102
3,Aqp8,24.0,300.0,2.6524016857147217,8.0,2.561671495437622,0.05000000074505806,0.1363387107849121,0.994008481502533
4,Saa1,12.0,300.0,2.0,8.0,0.18719731271266937,0.05000000074505806,0.1431434154510498,0.9929727911949158
5,Myh1,22.0,300.0,2.413233757019043,8.419595718383789,0.42903488874435425,0.05000000074505806,0.14177359640598297,0.9922788739204407
6,Ppp1r3c,24.0,300.0,3.006572961807251,8.23123550415039,0.5313422083854675,0.05000000074505806,0.1111285537481308,0.9911497831344604
7,Rgs16,24.0,300.0,2.3737058639526367,8.0,2.5345804691314697,0.05000000074505806,0.0954870954155922,0.9946421384811401
8,Atp2a1,16.0,300.0,2.1715004444122314,8.063820838928223,2.642521381378174,0.05000000074505806,0.14311188459396362,0.9885603189468384
9,Mfsd2a,24.0,300.0,2.6908905506134033,8.115967750549316,0.8951374888420105,0.05000000074505806,0.1281113475561142,1.0004898309707642
10,Hba-a1,24.0,300.0,3.47662091255188,8.479022979736328,2.730893611907959,0.05000000074505806,0.13781745731830597,0.9959108233451843
11,Cldn1,24.0,300.0,3.0820529460906982,8.354527473449707,3.299501419067383,0.05000000074505806,0.08990707248449326,0.9964175224304199
12,Neb,16.0,300.0,2.1644694805145264,8.406743049621582,1.1788747310638428,0.05000000074505806,0.1415860503911972,0.9931402802467346
13,Ttn,12.0,300.0,2.0,8.3034029006958,0.668277382850647,0.05000000074505806,0.1328810602426529,0.9949750900268555
14,Chka,24.0,300.0,2.621452569961548,8.33933162689209,1.2008178234100342,0.05000000074505806,0.11804692447185516,0.9934199452400208
15,Saa2,12.0,300.0,2.0,8.0,1.7285354137420654,0.05000000074505806,0.13307490944862366,0.992204487323761
16,C4a,12.0,300.0,2.0,8.36623477935791,0.6260861754417419,0.05000000074505806,0.14127768576145172,0.967304527759552
17,Myh2,16.0,300.0,2.0,8.13784408569336,0.2122637927532196,0.05000000074505806,0.14078308641910553,0.9979962110519409
18,Mcm10,24.0,300.0,2.895278215408325,8.210371971130371,4.701971530914307,0.05000000074505806,0.08463133871555328,0.9915294051170349
19,Tnnt3,22.0,300.0,2.6783554553985596,8.421087265014648,0.4559970200061798,0.05000000074505806,0.14299890398979187,0.9973340034484863
20,Vnn1,24.0,300.0,2.5950396060943604,8.257408142089844,0.9464932084083557,0.05000000074505806,0.13828086853027344,0.9957590103149414
21,Cav1,12.0,300.0,2.0,8.413972854614258,1.2531659603118896,0.05000000074505806,0.13772925734519958,0.9968538284301758
22,Nr1d1,24.0,300.0,2.775191068649292,8.0,2.1172099113464355,0.05000000074505806,0.060719262808561325,0.9949026107788086
23,Ddc,24.0,300.0,3.185126543045044,8.0,1.4783093929290771,0.05000000074505806,0.115358367562294,0.9912103414535522
24,Slc30a10,24.0,300.0,2.9877169132232666,8.381855964660645,1.733679175376892,0.05000000074505806,0.10077466815710068,0.9961970448493958
25,Noct,24.0,300.0,2.7825584411621094,8.778778076171875,1.672432541847229,0.05000000074505806,0.1376122087240219,0.8763582110404968
26,Dusp1,24.0,300.0,3.308300018310547,8.233902931213379,0.8949828147888184,0.05000000074505806,0.1285465508699417,0.9356638193130493
27,Avpr1a,24.0,300.0,3.1072802543640137,8.6880464553833,1.6648716926574707,0.05000000074505806,0.09221023321151733,0.9905992150306702
28,Tpm1,16.0,300.0,2.0,8.338854789733887,0.9302852749824524,0.05000000074505806,0.14347025752067566,0.9960456490516663
29,Crat,12.0,300.0,2.0,8.391568183898926,0.7712374925613403,0.05000000074505806,0.13978630304336548,0.9929523468017578
30,Mup-ps16,24.0,300.0,3.4103548526763916,8.0,1.033219814300537,0.05000000074505806,0.13895168900489807,0.9924279451370239
31,Mb,12.0,300.0,2.0,8.309316635131836,0.2775302827358246,0.05000000074505806,0.139707550406456,0.9945363402366638
32,Nr1d2,24.0,300.0,2.4049570560455322,8.236954689025879,2.1677873134613037,0.05000000074505806,0.06255025416612625,0.995094895362854
33,Mup1,16.0,300.0,2.0,8.0,0.21733291447162628,0.05000000074505806,0.1411178857088089,0.9937524199485779
34,Tpm2,24.0,300.0,2.9871623516082764,8.417012214660645,0.5770783424377441,0.05000000074505806,0.14005222916603088,0.9938787221908569
35,Per2,24.0,300.0,2.6167123317718506,8.221067428588867,1.9146933555603027,0.05000000074505806,0.06243039295077324,0.9806324243545532
36,Cd36,24.0,300.0,3.214637041091919,8.267812728881836,1.464074730873108,0.05000000074505806,0.14047683775424957,0.9939920902252197
37,Acnat2,24.0,300.0,2.624251127243042,8.0,3.0362534523010254,0.05000000074505806,0.1193230152130127,0.9964100122451782
38,Rdh9,24.0,300.0,2.7351744174957275,8.489004135131836,0.5979242920875549,0.05000000074505806,0.12547257542610168,0.9940043091773987
39,1810055G02Rik,24.0,300.0,3.2213430404663086,8.31131649017334,0.4351516664028168,0.05000000074505806,0.1366235762834549,0.9916657209396362
40,Ugt1a9,16.0,300.0,2.0620954036712646,8.0,1.750799298286438,0.05000000074505806,0.14126957952976227,0.9896939396858215
41,Tjp3,24.0,300.0,2.6619415283203125,8.371257781982422,1.8107540607452393,0.05000000074505806,0.1124577522277832,0.9924855828285217
42,Gsn,12.0,300.0,2.0,8.0,1.792173147201538,0.05000000074505806,0.1387953758239746,0.9962705373764038
43,Pim3,24.0,300.0,2.467593193054199,8.0,2.323864698410034,0.05000000074505806,0.12484818696975708,0.9953753352165222
44,Scd2,24.0,300.0,2.873124837875366,8.0,1.1688106060028076,0.05000000074505806,0.1418399065732956,0.993643045425415
45,Fkbp5,24.0,300.0,2.407058000564575,8.0,1.7804760932922363,0.05000000074505806,0.10989249497652054,0.9969315528869629
