,0,1
312,LOC115487659,0
313,Lonrf2,0
314,Chst10,3
315,Nms,0
316,Gm35171,0
317,Pdcl3,394
318,Gm35222,0
319,Mir6349,0
320,Npas2,458
321,LOC118567737,0
322,Rpl31,1585
323,Tbc1d8,379
324,Gm24826,0
325,LOC118567738,3
326,Cnot11,500
327,Snord89,10
328,Rnf149,1665
329,LOC115485772,0
330,Gm51620,55
331,Creg2,0
332,D930019O06Rik,0
333,Rfx8,0
334,Gm3646,0
335,1700066B17Rik,0
336,Gm35600,0
337,Map4k4,337
338,Gm16894,0
339,Il1r2,0
340,Gm35741,0
341,Il1r1,503
342,Il1rl2,10
343,Il1rl1,4
344,Il18r1,12
345,Il18rap,4
346,Gm35801,0
347,Slc9a4,0
348,LOC118567739,0
349,Slc9a2,0
350,Gm37915,0
351,Mfsd9,58
352,Tmem182,0
353,4930448I06Rik,0
354,LOC118567740,0
355,Gm39631,0
356,Gm35935,0
357,Gm29260,0
358,Gm28175,0
359,Gm46088,0
360,Gm36678,0
361,LOC118567741,0
362,Gm46089,0
363,Gm36822,0
364,Pantr1,0
365,Gm46091,0
366,Pou3f3,0
367,2900092D14Rik,0
368,Pantr2,0
369,Dalir,0
370,LOC118567742,0
371,Mrps9,319
372,Gm23126,0
373,Gm39633,0
374,Gpr45,0
375,Tgfbrap1,1287
376,Gm28782,5
377,8430432A02Rik,11
378,AI597479,186
379,Fhl2,6
380,Gm29040,1
381,LOC115487086,0
382,Nck2,79
383,Gm38628,2
384,Gm30634,0
385,Ecrg4,2
386,Uxs1,327
387,Tpp2,916
388,Mettl21c,0
389,Gm8251,1
390,Tex30,60
391,Poglut2,180
392,Bivm,273
393,Ercc5,388
394,Mettl21e,0
395,Gm28893,0
396,Gm39635,0
397,Gulp1,11
398,4930521E06Rik,0
399,Col3a1,862
400,Col5a2,84
401,Gm39637,0
402,Gm23216,0
403,Gm51621,0
404,Gm23974,0
405,Wdr75,276
406,Gm30900,0
407,Slc40a1,1314
408,Stk-ps2,0
409,Dnah7b,4
410,Gm31046,0
411,n-R5s211,0
412,Dnah7c,2
413,Slc39a10,283
414,Gm39638,0
415,Gm39639,0
416,Mir6350,0
417,C230029F24Rik,0
418,Gm39640,0
419,Gm28321,0
420,Tmeff2,10
421,9330175M20Rik,0
422,Cavin2,210
423,Nabp1,252
424,Gm17767,0
425,Gm31636,0
426,Myo1b,5014
427,Gm33795,0
428,Stat4,8
429,Gm31812,12
430,Stat1,1787
431,Gls,91
432,Gm31867,0
433,Gm31955,0
434,Gm23460,0
435,Nab1,1502
436,Gm53065,0
437,Gm28178,0
438,Nemp2,25
439,Mfsd6,372
440,Inpp1,271
441,Hibch,1221
442,1700019D03Rik,13
443,Mstn,0
444,1700019A02Rik,2
445,Pms1,121
446,Ormdl1,423
447,Osgepl1,375
448,Asnsd1,420
449,Asdurf,0
450,LOC118567743,0
451,Dnah7a,0
452,Gm32311,0
453,Stk17b,53
454,Hecw2,73
455,Mir7681,0
456,Gm51622,0
457,Gm25829,0
458,Ccdc150,1
459,Gtf3c3,326
460,Gm34066,0
461,Pgap1,335
462,Gm51623,0
463,Ankrd44,89
464,4930444A19Rik,0
465,Sf3b1,2573
466,Coq10b,199
467,Hspd1,6835
468,Hspe1,1618
469,Mob4,425
470,Rftn2,18
471,Gm10561,0
472,Mars2,54
473,Boll,9
474,Btf3-ps17,0
475,Plcl1,12
476,Gm6644,0
477,Gm39642,0
478,Gm32949,0
479,9130227L01Rik,0
480,1700003I22Rik,0
481,LOC118567744,0
482,Hsfy2,0
483,Satb2,20
484,Gm51624,0
485,9130024F11Rik,1
486,Gm38484,0
487,1700126A01Rik,0
488,BC055402,0
489,4930558J18Rik,1
490,1700066M21Rik,728
491,Tyw5,109
492,Maip1,398
493,Gm22371,0
494,LOC118567745,0
495,LOC115487664,0
496,Spats2l,25
497,LOC115487684,0
498,Kctd18,127
499,Sgo2a,2
500,Aox1,2629
501,Aox3,16469
502,Gm39643,164
503,Aox4,0
504,Aox2,2
505,Gm15759,0
506,LOC118567643,14
507,Bzw1,2400
508,Clk1,1199
509,Ppil3,119
510,Nif3l1,282
511,Orc2,88
512,Gm23966,2
513,Gm15834,5
514,Fam126b,283
515,Ndufb3,813
516,Gm20257,55
517,Flacc1,3
518,Cflar,2147
519,Gm39646,0
520,Casp8,533
521,Gm28802,0
522,Trak2,527
523,Stradb,808
524,C2cd6,1
525,Gm29018,0
526,Gm25502,0
527,Tmem237,63
528,Mpp4,44
529,Als2,2383
530,Gm33667,1
531,Cdk15,0
532,Gm51625,2
533,Gm33724,17
534,Gm33774,0
535,LOC118567746,2
536,Fzd7,646
537,Gm973,0
538,Gm28411,0
539,Gm39648,0
540,Gm33833,0
541,Sumo1,358
542,Nop58,330
543,Snord70,0
544,LOC115485825,0
545,Gm26287,0
546,Snord11,0
547,Bmpr2,842
548,Fam117b,163
549,Ica1l,2
550,Wdr12,261
551,Carf,110
552,Nbeal1,547
553,Cyp20a1,220
554,Abi2,20
555,Raph1,2877
556,Gm11578,0
557,Gm38388,13
558,Gm51626,2
559,Cd28,5
560,2310016D23Rik,0
561,Gm38137,1
562,Gm39650,0
563,Ctla4,2
564,Gm34649,0
565,Icos,13
566,LOC105243939,0
567,9530026F06Rik,0
568,Pard3b,177
569,Pard3bos1,1
570,Pard3bos2,0
571,Gm34881,0
572,Nrp2,617
573,Gm29083,0
574,4930487H11Rik,2
575,Gm4208,0
576,Gm35120,0
577,Gm39652,0
578,Gm35252,0
579,Gm38513,0
580,Ino80d,597
581,Ino80dos,32
582,Ndufs1,1856
583,Eef1b2,2005
584,Gm26457,0
585,Snora41,0
586,Gpr1,0
587,Zdbf2,0
588,1700039I01Rik,0
589,Gm11608,0
590,Gm23448,0
591,Gm35393,0
592,Adam23,164
593,Gm22281,2
594,Gm39653,0
595,Dytn,0
596,Mdh1b,0
597,Fastkd2,309
598,4933402D24Rik,3
599,Gm13749,0
600,Klf7,245
601,Mir6899,0
602,Gm13748,1
603,Gm35880,0
604,Gm39654,0
605,Gm35803,0
606,LOC118567747,0
607,Gm36148,0
608,Creb1,339
609,Mettl21a,152
610,Gm29152,0
611,2810408I11Rik,36
612,Ccnyl1,101
613,Fzd5,347
614,Plekhm3,62
615,Gm51628,0
616,Gm51627,2
617,Gm24788,0
618,Akr1cl,0
619,Cryge,0
620,Crygd,0
621,Crygc,0
622,Crygb,0
623,Cryga,0
624,D630023F18Rik,1
625,Gm36358,2
626,Idh1,9188
627,Pikfyve,718
628,Pth2r,0
629,LOC115487656,0
630,Crygf,0
631,Map2,25
632,Gm51629,0
633,Gm24729,0
634,Unc80,2
635,Gm39655,0
636,Rpe,490
637,Kansl1l,251
638,Gm46093,19
639,Acadl,3335
640,Gm15793,3
641,Gm27934,0
642,Gm25832,0
643,Myl1,0
644,Lancl1,335
645,LOC115487097,13
646,Cps1,96009
647,Gm26342,0
648,Gm39658,0
649,Gm15669,0
650,Erbb4,42
651,LOC118567748,2
652,Gm51744,6
653,Gm28497,0
654,Ikzf2,4
655,LOC118567749,0
656,Gm29822,0
657,Spag16,0
658,Gm23879,0
659,Gm23422,0
660,LOC115487661,0
661,Vwc2l,0
662,Gm29906,1
663,LOC118567750,0
664,Bard1,6
665,LOC118567751,0
666,Abca12,0
667,Gm39659,0
668,Atic,677
669,Fn1,49792
670,Apol7d,0
671,Gm39660,0
672,Gm30160,1
673,Gm30308,0
674,Gm8883,247
675,Gm28818,25
676,4933417E11Rik,0
677,Gm5528,0
678,Gm4319,0
679,Mreg,1025
680,Gm51630,0
681,Gm25360,0
682,Gm23472,0
683,D230017M19Rik,114
684,Gm24497,0
685,Gm25939,0
686,Pecr,3831
687,Tmem169,6
688,Gm51631,6
689,Xrcc5,478
690,Gm39661,0
691,Marchf4,0
692,Smarcal1,396
693,Gm39662,0
694,Ankar,0
695,Rpl37a,1482
696,Gm51632,0
697,Gm39663,0
698,Gm30788,0
699,Gm30847,0
700,Igfbp2,8574
701,LOC118567332,384
702,Igfbp5,346
703,Gm31047,0
704,Gm31137,0
705,Tnp1,0
706,1700027A15Rik,0
707,LOC118567752,1
708,Gm31254,0
709,Gm29185,0
710,Gm31344,0
711,Pinc,0
712,D530049I02Rik,0
713,C530043A13Rik,0
714,6030407O03Rik,0
715,Gm29183,0
716,Mir6351,0
717,Tns1,3601
718,Gm39664,0
719,Gm31637,0
720,Rufy4,2
721,Cxcr2,5
722,Cxcr1,0
723,Mir1928,0
724,Gm31691,0
725,Gm25524,0
726,Arpc2,2147
727,Gpbar1,3
728,Aamp,1161
729,Gm28364,4
730,Pnkd,5269
731,Tmbim1,1007
732,Catip,4
733,Slc11a1,196
734,Ctdsp1,2806
735,LOC118567753,12
736,Mir26b,0
737,Vil1,6
738,Usp37,159
739,Cnot9,442
740,Plcd4,4
741,Zfp142,218
742,Bcs1l,315
743,Rnf25,329
744,Stk36,12
745,Ttll4,535
746,Cyp27a1,12529
747,Prkag3,17
748,Wnt6,1
749,Gm29539,0
750,Gm32099,0
751,Wnt10a,0
752,n-TGgcc3,0
753,Gm32275,11
754,LOC118567754,0
755,Gm16582,0
756,Cdk5r2,0
757,Fev,1
758,Cryba2,0
759,Mir375,0
760,Cfap65,0
761,Ihh,24
762,Nhej1,101
763,Slc23a3,5
764,Cnppd1,1090
765,Retreg2,3951
766,Zfand2b,529
767,Abcb6,1598
768,Atg9a,2371
769,Ankzf1,329
770,Glb1l,91
771,Stk16,1549
772,Tuba4a,6445
773,A630095N17Rik,0
774,Dnajb2,1753
775,Ptprn,5
776,Resp18,0
777,Dnpep,1149
778,Des,138
779,Gm15179,0
780,Speg,58
781,Gmppa,868
782,LOC118567755,0
783,Asic4,0
784,Gm32506,0
785,Chpf,121
786,Tmem198,2
787,Obsl1,48
788,Inha,4
789,Stk11ip,224
790,Slc4a3,22
791,Gm32622,0
792,Gm29065,0
793,Gm32737,0
794,LOC118567756,0
795,Gm17751,0
796,Mir6343,0
797,LOC118567757,0
798,Epha4,7
799,Mir6352,0
800,Gm32793,0
801,Gm32974,0
802,Gm33083,0
803,Gm33030,0
804,Gm26263,0
805,Pax3,0
806,Gm33152,0
807,Gm2102,0
808,Sgpp2,9
809,Gm51634,0
810,Farsb,726
811,Mogat1,21
812,Gm39665,0
813,5730419F03Rik,0
814,LOC115489320,0
815,Acsl3,1222
816,Utp14b,229
817,Gm51635,9
818,Gm38631,1
819,Gm33693,0
820,Gm29536,0
821,Kcne4,7
822,LOC115487654,0
823,Scg2,1
824,Gm24160,0
825,Ap1s3,10
826,Wdfy1,248
827,Mrpl44,423
828,Gm39666,0
829,Serpine2,340
830,Gm33970,0
831,Gm23934,0
832,Fam124b,0
833,LOC108167342,0
834,2310015K22Rik,0
835,Gm34098,0
836,Cul3,1172
837,Gm39667,2
838,Gm38673,0
839,1700016L21Rik,0
840,Dock10,148
841,Nyap2,0
842,LOC118567758,0
843,Mir6344,0
844,Irs1,979
845,Rhbdd1,488
846,Gm46095,3
847,Col4a4,16
848,Col4a3,9
849,C430014B12Rik,6
850,Mff,422
851,Tm4sf20,3
852,Gm34286,0
853,Gm17764,0
854,Gm34450,0
855,Agfg1,512
856,Slc19a3,7
857,Krtap28-13,0
858,Ccl20,19
859,Daw1,0
860,Sphkap,0
861,Pid1,3008
862,Mir6353,1
863,Dner,1
864,LOC118567658,0
865,Mir5126,0
866,Gm51637,0
867,Trip12,2935
868,Fbxo36,70
869,Slc16a14,2
870,Gm39669,0
871,A530032D15Rik,1
872,A530040E14Rik,5
873,Gm38510,0
874,LOC118567331,0
875,LOC118567761,0
876,Gm7609,18
877,C130026I21Rik,2
878,LOC118567760,0
879,LOC118567759,0
880,Gm2619,2
881,Gm7592,8
882,LOC118567762,0
883,Gm2427,1
884,Sp110,55
885,Sp140,77
886,Sp100,290
887,A630001G21Rik,14
888,Mir8096,0
889,9930111H07Rik,0
890,Cab39,1243
891,Itm2c,689
892,Gm32302,0
893,Gm51745,0
894,4933407L21Rik,0
895,Gpr55,2
896,Gm41905,0
897,LOC118567763,0
898,Spata3,2
899,2810459M11Rik,1615
900,Psmd1,2831
901,Gm22786,0
902,Htr2b,4
903,LOC118567764,6
904,Armc9,174
905,Gm46098,1
906,Gm16341,2
907,Gm28626,0
908,B3gnt7,1
909,Gm5258,0
910,Ncl,2740
911,Snora75,1
912,Gm24148,0
913,Snord82,0
914,C130036L24Rik,2
915,Nmur1,0
916,Tex44,0
917,Gm32700,0
918,Gm32758,0
919,Gm41907,0
920,Ptma,3596
921,Pde6d,122
922,Cops7b,231
923,Gm41908,0
924,Nppc,0
925,Dis3l2,388
926,Gm41909,0
927,Gm28375,0
928,Gm41910,0
929,Gm29371,0
930,Alppl2,0
931,Alpi,0
932,Akp3,0
933,Ecel1,0
934,Gm51638,0
935,Gm33292,0
936,Prss56,0
937,Chrnd,0
938,Chrng,0
939,Eif4e2,837
940,LOC118567765,8
941,Efhd1,9
942,Gm41911,0
943,Gigyf2,969
944,Gm22549,0
945,Kcnj13,5
946,Snorc,0
947,Ngef,473
948,Gm46099,0
949,Neu2,49
950,Inpp5d,113
951,Gm33470,1
952,Gm33517,0
953,Atg16l1,563
954,Gm25395,0
955,LOC118567766,4
956,Scarna6,0
957,Sag,1
958,Dgkd,418
959,Gm19582,0
960,Usp40,888
961,Ugt1a10,10
962,Ugt1a9,464
963,Ugt1a8,0
964,Ugt1a7c,5
965,Ugt1a6b,1198
966,Ugt1a6a,1148
967,Ugt1a5,636
968,Ugt1a2,8
969,Dnajb3,19
970,Ugt1a1,4283
971,Mroh2a,67
972,Hjurp,2187
973,Trpm8,1
974,Spp2,1453
975,Gm29538,0
976,Gm28888,0
977,Glrp1,2
978,Gm19589,1
979,Gm41912,0
980,Arl4c,54
981,Platr5,0
982,Gm34194,0
983,1700067G17Rik,0
984,Sh3bp4,27
985,Gm34331,0
986,C030007H22Rik,0
987,Gm41913,0
988,Agap1,306
989,Gm41914,1
990,4933400F21Rik,0
991,Gbx2,0
992,LOC102637806,0
993,Asb18,0
994,Gm41915,0
995,Gm34616,0
996,Iqca,0
997,4930434B07Rik,0
998,Ackr3,12
999,2700003A03Rik,0
1000,Gm34992,0
1001,Gm28722,0
1002,Gm35048,0
1003,Gm35141,0
1004,Gm41917,0
1005,Gm35192,0
1006,Cops8,544
1007,Gm35242,0
1008,Gm9991,0
1009,Gm35332,0
1010,Gm41918,0
1011,Col6a3,334
1012,Gm35381,0
1013,Mlph,37
1014,Prlh,0
1015,Rab17,317
1016,Lrrfip1,902
1017,Rbm44,1
1018,Ramp1,48
1019,Ube2f,760
1020,Scly,2893
1021,Espnl,3
1022,Klhl30,2
1023,Erfe,0
1024,Ilkap,571
1025,1700020N18Rik,0
1026,Hes6,2772
1027,Per2,619
1028,Gm35591,348
1029,Gm28382,0
1030,Traf3ip1,196
1031,Asb1,117
1032,Gm28380,0
1033,Twist2,4
1034,Gm46117,0
1035,Gm46242,0
1036,Hdac4,202
1037,LOC108167659,0
1038,LOC118567767,0
1039,LOC118567768,0
1040,Gm35992,0
1041,Ndufa10,3340
1042,Mir6900,0
1043,Olfr1416,0
1044,Olfr1415,0
1045,Olfr1414,0
1046,Olfr1413,0
1047,Olfr1412,0
1048,Olfr1411,0
1049,Olfr1410,0
1050,Olfr12,0
1051,Cops9,278
1052,Otos,0
1053,Gm29483,5
1054,Gm36102,0
1055,Gm29481,0
1056,Gpc1,390
1057,Gm29480,0
1058,Mir149,0
1059,Ankmy1,0
1060,LOC115487694,0
1061,Dusp28,187
1062,5033417F24Rik,4
1063,Rnpepl1,2323
1064,9430060I03Rik,1
1065,Capn10,423
1066,Gpr35,64
1067,Gm36424,0
1068,Aqp12,0
1069,Kif1a,2
1070,Gm36472,0
1071,Agxt,6320
1072,Mab21l4,11
1073,Crocc2,0
1074,Sned1,697
1075,Mir6901,0
1076,Mterf4,172
1077,Gm28535,1
1078,Pask,17
1079,Ppp1r7,434
1080,Mir6902,0
1081,Mir6345,0
1082,Gm26446,0
1083,Ano7,1
1084,Hdlbp,13219
1085,Gm17415,6
1086,Septin2,1675
1087,Farp2,411
1088,Gm41920,3
1089,Stk25,926
1090,Bok,226
1091,Thap4,299
1092,Atg4b,673
1093,Dtymk,321
1094,Ing5,189
1095,Gm22089,3
1096,D2hgdh,631
1097,Gal3st2,1
1098,Gal3st2b,0
1099,Gm7889,0
1100,Gal3st2c,0
1101,Neu4,0
1102,Pdcd1,0
1103,Gm23389,0
1104,4930440C22Rik,0
1105,Fam174a,169
1106,St8sia4,11
1107,Gm30431,0
1108,4930598F16Rik,0
1109,Gm22360,0
1110,1700063A18Rik,0
1111,Gm30490,0
1112,4930533P14Rik,0
1113,Gm26245,0
1114,Gm26078,0
1115,Slco4c1,1
1116,Panct2,2
1117,Slco6b1,0
1118,Slco6c1,0
1119,Gm7133,0
1120,Gm7135,0
1121,Macir,205
1122,Ppip5k2,1032
1123,Gin1,180
1124,Pam,484
1125,Gm31771,0
1126,B230216N24Rik,0
1127,Gm24465,0
1128,Gm51640,1
1129,1810006J02Rik,0
1130,Gm29461,0
1131,Slco6d1,0
1132,Gm7967,0
1133,Gm51641,0
1134,Cntnap5b,0
1135,LOC118567769,0
1136,Gm41923,0
1137,Gm23602,0
