Gene_ID,KO_00_rep2,KO_02_rep2,KO_04_rep2,KO_06_rep2,KO_08_rep2,KO_10_rep2,KO_12_rep2,KO_14_rep2,KO_16_rep2,KO_18_rep2,KO_20_rep2,KO_22_rep2,KO_24_rep2,KO_26_rep2,KO_28_rep2,KO_30_rep2,KO_32_rep2,KO_34_rep2,KO_36_rep2,KO_38_rep2,KO_40_rep2,KO_42_rep2,KO_44_rep2,KO_46_rep2,KO_00_rep1,KO_02_rep1,KO_04_rep1,KO_06_rep1,KO_08_rep1,KO_10_rep1,KO_12_rep1,KO_14_rep1,KO_16_rep1,KO_18_rep1,KO_20_rep1,KO_22_rep1,KO_24_rep1,KO_26_rep1,KO_28_rep1,KO_30_rep1,KO_32_rep1,KO_34_rep1,KO_36_rep1,KO_38_rep1,KO_40_rep1,KO_42_rep1,KO_44_rep1,KO_46_rep1
Med8,38.98725032617577,34.439735694220154,31.636307927089486,27.27384347833088,25.317459387486263,26.588013130634437,29.033969235628792,34.9912327030364,33.016768556414426,31.854474375162603,35.80474851374261,38.587646824176,35.26797971094807,35.23749632051322,26.06025775434467,28.60418035793841,25.884775385424305,28.30316347040907,30.395133140854757,31.47385954149723,36.544124034351476,31.56092951758548,35.94100848961807,34.08965417570902,30.214309817156362,37.37730708679661,33.43031233707582,29.783853926864516,29.11499917583471,26.741057427246165,28.430846020332975,35.568528507028226,35.59752856942191,38.263586213293166,33.45568842033871,31.538544499341057,34.61430080899959,35.07636180539812,32.467302529129284,28.80924883926056,23.10204603539341,30.306459438120843,29.15948233966261,28.80171046761427,36.73591332144997,36.005767065894595,34.05720990024233,38.19421863403023
Elovl1,68.06963165056634,52.369430154875225,44.021585924077705,41.26301042847108,43.71359894242233,42.65827809513437,45.75392039077689,52.04392205831364,53.971411000218794,58.2500166497429,61.21701705633536,71.43163971854801,70.06150229573988,60.470060650023576,44.76232508393319,43.383006876206586,35.338345526187965,53.539254093264304,52.952151239481225,67.24792663662926,61.572522280100394,61.03436448440152,53.433974859390226,72.30595069900387,49.65124121043608,61.30893130752839,46.43962768065106,40.11256657306157,44.15679914143229,48.926230996517056,45.80203503479304,49.07221302706623,58.808079292051744,55.864835871408026,53.72096205129657,65.92982166696422,85.15443015922902,58.83776818970008,50.58644869977651,43.61242017959208,33.57855528400205,45.26458319513328,46.06609129215386,64.46863311372879,64.4774879830759,59.49768143906121,58.90677021833445,70.62942279408149
AU022252,59.85069779802117,61.09766851402111,66.90742570112117,66.42338264095343,51.78847208039757,53.49636376886688,41.460959959049674,45.97582220981239,55.11599231017449,57.99312572736256,63.796172669613426,60.59150413272079,74.33161643114614,69.5940552330136,79.17719488305306,77.35047105125845,53.79531580101226,44.230418959460565,51.45632775813994,53.432366198355766,62.57099561437229,70.82570797253435,69.9215983343479,68.49329200829958,46.168594907523975,63.67672451664673,69.60761157936872,69.40457704058336,51.56374609418867,50.51088625146498,45.686227108029975,44.92402235751208,46.30083952441702,56.783161940527066,70.74858841577003,59.66965831156738,65.49090716444523,64.09114034949472,83.14572659017811,74.86988581744593,50.636461368275086,37.0050974684351,53.4295969334828,51.54272580889631,52.774011172702465,61.20411589716047,66.67225781773824,67.85857620754444
Ybx1,221.70047212506435,223.04329590058305,209.80930172071896,207.22082554200475,227.49285449618952,189.10590865202244,223.40340141422544,230.01198914793426,246.26107107277647,228.82558911029102,237.4340314576576,234.8426388481822,251.30412448742817,235.58783254285981,247.26585739857617,259.4637526634664,269.95194735291784,235.51890971479182,239.39158995385802,243.83091766886662,209.01375130758404,234.29641219826448,237.813861768368,241.36372252564504,209.05290375048062,237.79408943002736,216.5454960376787,212.69497152909486,217.42238132091046,204.4205278882818,238.62223309529978,258.59997152752527,225.73162542163828,266.0084513548141,243.78284788010248,248.1877421405432,252.05061293313787,232.44151279337558,247.59767254508793,216.75258958708488,282.5299641595932,250.71116123166493,249.18103090257142,242.05236376227788,232.71496713219412,224.16860664564075,240.95198665578613,258.01471449930233
Smap2,42.78060441196585,51.0549364260882,54.99332675836619,58.07013906640929,56.46339863396218,52.58874083067253,50.1598534654443,50.67084836996664,50.44962235420125,45.46969326132081,47.03166118330597,46.030127972654384,50.608760123333546,52.5416239779081,55.7996107210674,67.21982384115528,53.94537246991326,59.13531683266078,47.38768788889167,51.37375619927528,48.1264147119055,49.30463319912566,52.47889910931646,49.609417787281814,43.58014157427849,50.82298995286147,55.14705787077313,51.37031686468375,58.343951381711825,49.98266783314901,58.19348319844122,62.928935050896094,46.30083952441702,57.24232497508658,48.62466542812669,48.10024249020106,48.75253635070365,54.71589157201504,57.76052687901754,56.593662739575095,53.860002675539285,54.43456341138872,56.139367009491856,53.4735667340995,45.73025198127401,48.51961975862257,50.47566939612462,49.44059595585705
Zmpste24,72.07372763001142,68.09077515116809,76.80218584001936,72.05930601654948,73.28099156042188,78.8030268691093,70.26898390879809,71.31124639479572,72.37275667566044,80.47108143564262,78.58838868694355,79.76398274347491,79.23434006809408,71.73347465247335,76.80111255839222,80.09170500222756,71.80211606913352,76.2463548242769,83.40711731958963,77.67821729863707,79.54504229699455,77.13789387605142,88.21883901997164,87.55658546182107,71.15893527031217,75.51569056223842,75.10158538980289,72.51958561642058,72.18924453186415,79.23276274739605,70.64283532547094,76.78565707472595,77.32841510181855,67.95612911480868,82.97970031137773,71.95225730000422,73.77883834406485,73.30474690667305,75.05189479821388,78.28600228059935,70.5821232069723,72.83955916458228,81.58764250592468,77.82361617971752,66.53643297749346,77.8134112893267,84.08913714782959,87.47182361420862
Ppt1,31.716654995078127,31.968487484100542,36.07885329557439,31.299503032328058,34.788739158344434,37.532877973566286,32.42314852383449,32.4665488244629,31.431963665706537,33.716933562420095,33.529022972614904,32.92488942859461,32.737541704781385,33.66439380620459,37.17419120840342,37.542986719794165,32.787382154870784,33.253526662952105,33.86544361756652,34.85912931776293,29.288551138642347,32.80348579780537,35.48860418695155,38.30600613954672,32.473323635261515,38.1383834754418,37.57670766570537,32.62561613640021,38.91495975948162,39.08816295538205,39.14307924591669,34.332897243756776,38.00276698627475,35.66166235078923,34.17516559066858,31.776272221697905,35.751859990516,35.238004025699496,36.330267702566765,33.9334235339907,32.705512846618,33.03794290679268,37.76005692873481,33.84335066120038,30.071433471098427,32.536017001092745,36.33138841149629,33.03283773753966
Cap1,92.93717510185682,88.96493556430612,91.54335910817382,91.88567931998558,91.98069777468032,90.44195631183682,87.21488034982656,82.56159209931629,90.15778933804901,90.48982740847602,88.90501114005582,88.90529111062772,97.10555848664625,95.77048107110913,107.53688714513402,98.44605406523803,88.9836046582992,95.9401910033068,101.11766733867036,100.41442106625934,83.53893563408216,90.25928819517358,94.70330069152511,107.11328180472782,81.84218811843445,95.55736879656149,96.50735127385299,91.70148053078653,96.86007553604502,90.259322229742,91.4303581794415,90.81889785045172,86.46832108585932,95.04674815382022,91.79329564791857,89.78183647676738,101.0802587004589,96.09629996916675,100.25314378682981,94.6833613037358,84.55080220511717,92.28512004869846,95.25430897623119,102.06639668504648,86.63823805457007,95.5034485049558,98.56622474386094,105.94413419112225
Pabpc4,36.56371854914322,30.864312751919435,30.828572405546772,43.77904764971931,36.24585912309185,38.38711132716096,42.138795816690816,42.60957703838105,39.35598811924601,33.909601754205354,32.61873275616382,46.839093314880294,48.07832211716687,36.30720603024309,37.55743029302614,38.7348275680416,72.85251275144057,47.83557476272559,46.90902437486246,47.119295534508936,41.53649070571097,41.45167750813588,40.263982937320385,44.181986004043935,40.5210603622611,34.3330015322159,32.601033271349905,40.44046221262338,36.692875673654704,48.794176391938066,43.196356682624035,39.451941048738504,48.34529217874193,36.27387973020193,35.374294207885015,41.998564283042114,46.47741798767081,36.28867845765842,35.13458800602659,39.05759822872084,82.40177466694102,55.865340466407304,45.24137866032502,48.48556101065792,40.63707225824112,39.2479925362832,40.26959997976536,44.49653636027134
Macf1,135.08555383285764,117.09510136034854,122.97773315487763,107.9883175359743,98.17345762485681,115.90878816587824,116.47479487133575,120.1660940801744,118.94841151924238,125.29854739101256,136.08838735943695,136.14886709662096,131.10831919451098,138.55886946030378,148.7734126505382,133.0094386644136,137.7520220511276,126.39568629656067,140.72707312458738,158.51296992919754,130.13435790010408,129.42466214770485,146.0260554718049,155.0630716913501,128.52847369260752,130.14406245832578,125.94675810712286,107.22187413671226,117.99836260891132,129.08337597596608,129.47326212110903,111.73636995011844,114.85013440472272,134.5347691259388,155.82676380727654,134.39540570573476,129.84425514737404,134.0014006298389,150.93156784787865,133.68402425807074,133.64265003032816,122.33143820408864,140.4956876365562,153.18004673278654,125.21636531839363,130.03030570716436,141.27640654058177,154.02647201632388
