Gene_ID,WT_00_rep2,WT_02_rep2,WT_04_rep2,WT_06_rep2,WT_08_rep2,WT_10_rep2,WT_12_rep2,WT_14_rep2,WT_16_rep2,WT_18_rep2,WT_20_rep2,WT_22_rep2,WT_24_rep2,WT_26_rep2,WT_28_rep2,WT_30_rep2,WT_32_rep2,WT_34_rep2,WT_36_rep2,WT_38_rep2,WT_40_rep2,WT_42_rep2,WT_44_rep2,WT_46_rep2,WT_00_rep1,WT_02_rep1,WT_04_rep1,WT_06_rep1,WT_08_rep1,WT_10_rep1,WT_12_rep1,WT_14_rep1,WT_16_rep1,WT_18_rep1,WT_20_rep1,WT_22_rep1,WT_24_rep1,WT_26_rep1,WT_28_rep1,WT_30_rep1,WT_32_rep1,WT_34_rep1,WT_36_rep1,WT_38_rep1,WT_40_rep1,WT_42_rep1,WT_44_rep1,WT_46_rep1
Mrpl15,40.37723582554581,43.35475536010998,40.79777893182606,39.596151577300574,40.740746082038164,47.58616444181494,47.061796913079384,43.62790595586583,46.62959718821103,47.5032756755205,39.341514447624775,45.60945068540926,44.01675209866795,38.40829194313803,37.96194803441217,35.60793878995322,38.97376265028593,45.58693665301964,46.313196769933015,47.392225056847835,45.30616860334936,45.078046184140334,44.639080990604796,43.4921630654163,39.408800503372106,40.52454366565325,42.78076654772592,45.49543494669796,41.457784007413046,45.45567684489339,50.11307433991288,44.145530516048154,46.366853884876924,45.109892802541,42.5272910904227,49.75886756740421,46.012121048826735,38.82560315574502,35.672301388553564,38.059947510093615,40.42280597175036,42.941780339374255,42.02231760793939,48.384383582631024,43.35988380909673,33.006836549931535,39.058197995610115,41.09019675834985
Lypla1,140.39640616652784,134.33742471951942,119.37986448801377,130.19142808863,131.30778515998495,109.98263716727999,133.93472154975893,134.52687290102546,133.92059130016904,138.46578317408913,129.35013083537234,138.5930034220323,122.16341659384152,126.90666047571413,124.4939732944894,133.52977046232456,134.68781859721605,133.85464274742893,143.40305326044333,139.0307244708384,133.77889926443535,129.2400428590075,137.8069554232779,114.40932067526708,137.26796260960498,136.64251841579497,128.27262412762772,136.81984908457113,124.05607306299873,91.06312556572966,119.56803702154652,126.10670089318576,135.7378991154824,150.96996970777406,136.46668291222497,132.8303666184144,123.47493840121103,107.73385883068211,123.85600295777293,132.92578682629713,125.36433552879394,133.38790517918127,150.5882110985687,146.11954988735974,131.1551576836516,216.932621212617,143.53354181446886,118.0286310178115
Tcea1,38.80460736106496,41.39622431714814,37.24342697943213,37.62083335802481,35.98165007953459,37.66969715624051,34.136690966616435,41.424022046755084,39.788001763093696,36.965978313444616,38.79510452474109,38.27936039668277,40.698566171229906,39.82426583965924,37.73463098031389,37.471144889427514,37.34724928125313,38.179059446903956,38.263703756377936,42.26736988474759,38.51291782102898,34.19081114916479,34.636963258270114,37.0514446496779,40.65413466810659,43.16159896394941,37.415751850372665,35.15556336790297,34.689166210284384,36.57702210223475,39.025678750088105,38.415888112852784,38.031239703326015,38.19523770142157,39.23292347074207,39.49497570488778,40.7125549000383,35.71955490328543,37.81411658579591,37.176300304220796,37.78971607732995,35.96374103422594,41.92344156650894,43.61681449459548,36.73702949360807,41.205078889547366,36.39028829645642,36.919175413880865
Atp6v1h,34.32261623729454,34.80843808173102,36.00713064816467,38.78806685123322,34.827929836503415,31.87435913220351,35.487747337326844,35.84684644002584,39.35130418276706,33.719351558642856,30.052545758602253,40.14581857205294,32.84326887362147,36.69732348484156,35.38568808796503,33.848244140449715,34.34445536919257,33.67734945241826,35.135464765328095,32.119141821182744,31.987117856910174,25.933638510278833,28.401075042431824,32.75763237251896,32.659892771907764,38.802385103500654,35.04678432167123,34.421766030053,33.067518196388974,34.376329901062945,32.28532372191269,32.19513350366923,33.76870972412385,34.244006215067614,31.046919082444745,46.33757027989873,35.51204606244217,31.635676645421874,33.30891910194132,30.927652205548714,34.864060639085054,34.24606982065097,36.78188741212577,33.24413039765327,29.66133043859881,60.59570424933436,27.31939531933385,32.74815406941188
Rb1cc1,36.13113897144751,35.25355877331325,37.552501062248986,38.96764123480374,36.125865109913484,42.49914550960468,40.666796758383434,39.894796477168036,32.31562094417122,35.25722738986473,40.682702440157435,34.68218645869662,34.87481127817537,37.81830281958752,39.32585035900182,41.818625788200876,53.674941178082385,48.26516918138455,48.182510313365235,40.23772427203462,34.98256702076798,29.84814998352847,41.42852468146033,36.15112917220909,35.67279800916863,38.53329782816431,38.66991113027343,43.96113142210258,42.30386123205413,36.956451792091954,46.107935844910095,36.506007311787656,31.87425195558955,34.62815372068536,37.93514228723152,34.813200469353966,35.11581681767293,34.45412783746855,44.09185078460968,46.012772362949,43.787309725731994,46.59183166822107,48.5481363423488,41.03975012268437,38.49180285925036,52.75390722883226,38.257825085864006,37.48282694691722
Pcmtd1,95.06539067786734,99.1283780153644,94.0357896970309,100.29229322413774,93.16290962476691,106.24786377401169,96.1501783822244,94.1823041975083,96.55868720555665,92.0447164168359,91.49882526833943,101.16203310506324,94.06041333084582,97.2302075611236,97.06438209996404,110.03267131895427,117.5468700158704,110.83323973765403,107.54275263133539,97.62595397149383,86.01218313363138,86.24158089503102,96.37843074181755,94.1175949138547,95.08728928795288,93.64237181704735,93.29551532150651,102.66491845009995,94.33761054748071,101.45949906781713,99.5423445465326,86.92686045990693,92.4495391044737,96.47590212514241,96.83444215424889,95.25611921528404,96.43229244571116,87.65958401385988,100.29603578810713,111.71825388534943,103.17811512210345,105.4220707331638,105.9951164134377,91.09922554705761,87.9650906518751,85.90332190640929,107.57011906987704,94.74982270341027
Adhfe1,88.4996668386598,91.0716934977259,100.37180839477662,97.68846466236515,106.28647738924647,89.05502763603526,99.7980305831425,105.24670096569695,114.31772213883994,97.22792755169485,90.65437356933738,106.4559872024768,100.01960438420394,88.9703598314165,94.33657745078473,102.3728240211155,89.2705606773002,97.95493013317596,98.53952821806999,95.85001406036999,89.38206344297141,99.63654984255713,85.07974219232838,91.41664848144828,91.51197507306999,92.72747508090379,91.69297846385554,106.26719629045432,104.77256298472072,93.3397037048729,91.67859701366129,100.13232199870008,106.80005670112101,105.47592939961531,100.12880977392952,106.90053454468865,93.60915907673039,82.08020104184912,98.22807628732141,100.23084020900276,100.3987424557708,105.20736183146693,101.15019038334587,92.51661095160873,89.32362487043687,192.26660512994675,89.0548257577504,91.64973927171036
Vcpip1,33.30040773538199,34.05173290604121,28.82115822267258,28.911475754854386,28.266145954263646,30.650898882684587,28.552324634346725,35.666937549486185,31.587791643626826,29.21964079321585,31.74144915660635,29.76152399635708,28.441593663754674,32.39040288292285,40.08357387266275,34.210534215347494,34.532129988696354,35.3868595769065,34.448778157536665,35.36657480152349,32.78947031151495,26.91226637859124,33.710841246016905,30.54147119721113,34.989872822056164,35.41188543426273,31.84171060636929,32.754044807666716,28.02630806623586,27.015393917833133,30.67349969343595,34.75983057938526,28.558950860654534,30.402531158890156,29.00041798537041,30.671630068689446,29.469550079711418,28.64466721712744,35.89386847792346,37.68124156471955,32.133448896723145,34.46077872234784,38.85828428216513,35.43463511377771,29.887752808359107,30.29785212466718,34.25596053713346,34.270013208610024
Cops5,37.074716050136026,38.45842775270536,40.41143632830498,41.212321029435294,41.101283657985405,40.760544102393574,43.86429683573141,41.783839827834385,41.19513841081286,36.965978313444616,33.08263714913901,40.07794736567584,37.989842965158026,42.007225596796125,42.356744413645515,41.97389296315706,40.78795063882251,43.70647551608259,37.386270868644445,36.4321387481978,33.91276374796163,31.92773420369234,34.38999738833593,36.28963924566583,37.72157357050602,36.27296471533903,39.71504386352406,40.89252437291181,41.95132905512034,38.3223986755779,44.25189605454295,39.943792753704884,40.35195046978053,40.71963559548104,37.63565432180601,38.89474811058857,38.73140867619215,41.6440543477917,39.291230514928564,39.63788894915223,39.691392112189135,39.88217849019384,40.93468115220449,37.56071322060438,33.56711631696392,40.064453868383424,35.80334816264261,36.806445107273596
Arfgef1,82.52367867363257,85.59670899126438,80.20472449097623,80.9880469903064,60.930850335083626,72.24854736632795,86.6927837872515,87.03092579855709,89.18335029337344,86.29192164078364,84.94190619373529,75.60852390408618,76.18284017077146,71.91967416080685,88.7294234496939,92.64274772386085,101.21917811904113,87.86882039869536,93.88531898748364,97.72743625212948,78.3630897330659,65.93505262754854,75.50981473237853,82.55200378021692,80.22362345079928,90.95149906368391,80.68424700694888,90.59061680002321,77.6628385785127,67.15905510472564,82.5937706713379,85.39895581905485,85.06115380718995,88.02465700155201,87.55031522605802,74.24815341481182,78.70103374228815,68.62065861452417,92.54118766016069,89.50083842340422,89.76886103014766,80.46216091090251,99.96367788618053,100.18337745804426,85.98389491647251,141.72265887961964,77.47609766342335,79.86942223125067
