,Gene_ID,Period,Period_null,Lengthscale,Lengthscale_null,Var,Var_null,Noise,Noise_null
0,Gpx3,12.0,300.0,2.0,8.0,1.6482709646224976,0.05000000074505806,0.14171864092350006,0.9915944337844849
1,Kap,14.0,300.0,2.0,8.0,0.45195916295051575,0.05000000074505806,0.14315055310726166,0.9935879707336426
2,Saa1,12.0,300.0,2.0,8.0,0.3406917154788971,0.05000000074505806,0.14053040742874146,0.9892353415489197
3,Cyp7a1,24.0,300.0,2.4691803455352783,8.154763221740723,0.7954909205436707,0.05000000074505806,0.12678347527980804,0.9842788577079773
4,Hba-a1,20.0,300.0,2.180793523788452,8.606681823730469,1.4288640022277832,0.05000000074505806,0.1424950361251831,0.989719569683075
5,Slc34a1,12.0,300.0,2.0,8.0,1.325628399848938,0.05000000074505806,0.14290927350521088,0.9847102761268616
6,Saa2,10.0,300.0,2.0,8.0,0.2058718204498291,0.05000000074505806,0.14292654395103455,0.9935822486877441
7,Hhex,12.0,300.0,2.0,8.294245719909668,0.6539741158485413,0.05000000074505806,0.1404402107000351,0.9928050637245178
8,Tubb2a,24.0,300.0,2.406395673751831,8.411623001098633,2.3727753162384033,0.05000000074505806,0.12055128067731857,0.9939653277397156
9,Angptl8,24.0,300.0,2.5053772926330566,8.165539741516113,2.3784377574920654,0.05000000074505806,0.14411090314388275,0.9967854619026184
10,Ppp1r3c,24.0,300.0,3.017253875732422,8.511781692504883,1.7116882801055908,0.05000000074505806,0.12562955915927887,0.9987151622772217
11,Cyp4a14,16.0,300.0,2.2057979106903076,8.182828903198242,1.3798141479492188,0.05000000074505806,0.13721242547035217,0.9915465116500854
12,Cldn1,24.0,300.0,2.707714319229126,8.176886558532715,0.8821762204170227,0.05000000074505806,0.11196521669626236,1.0007227659225464
13,Nr1d1,24.0,300.0,2.712236166000366,8.0,2.3005387783050537,0.05000000074505806,0.061259519308805466,0.9950693845748901
14,Chka,24.0,300.0,2.5478572845458984,8.81505012512207,1.7207509279251099,0.05000000074505806,0.08793206512928009,0.9843528270721436
15,C4a,12.0,300.0,2.0,8.152626991271973,0.5198700428009033,0.05000000074505806,0.1424354612827301,0.9963546395301819
16,Gm4952,24.0,300.0,2.793261766433716,8.27832317352295,0.8307839035987854,0.05000000074505806,0.13386382162570953,0.9925649166107178
17,Inhbe,24.0,300.0,2.7948648929595947,8.171102523803711,1.863024115562439,0.05000000074505806,0.11986822634935379,1.0007874965667725
18,Angptl4,24.0,300.0,2.748641014099121,8.358108520507812,0.5123443603515625,0.05000000074505806,0.14138548076152802,0.991328775882721
19,Acsm2,16.0,300.0,2.067652940750122,8.0,0.42670339345932007,0.05000000074505806,0.14327363669872284,1.009223461151123
20,Hsph1,24.0,300.0,2.6946489810943604,8.305377960205078,0.9595756530761719,0.05000000074505806,0.13784195482730865,0.990583062171936
21,Mup12,22.0,300.0,2.9232242107391357,8.0,0.5369283556938171,0.05000000074505806,0.13412553071975708,0.9943996071815491
22,Mafb,24.0,300.0,2.9233317375183105,8.133135795593262,2.2335710525512695,0.05000000074505806,0.10027451068162918,1.0217758417129517
23,Depp1,24.0,300.0,3.1919915676116943,8.0,2.113102912902832,0.05000000074505806,0.08722374588251114,0.9965912699699402
