,Gene_ID,Period,SNR,nSNR,LLR,phase
0,Mrpl15,24.0,2.0100085339897387,0.6423169184516422,-1.1495191256205242,14
1,Lypla1,20.0,1.2360512895814584,0.5417834786898931,-1.9342565536499023,9
2,Tcea1,12.0,2.8873719642744824,1.4436859821372412,-1.1941235860188801,2
3,Atp6v1h,18.0,1.629000901287557,0.6611945214366566,-1.8092519442240398,16
4,Rb1cc1,24.0,2.0904838883565913,0.6649412113944186,-1.1589754422505696,9
5,Pcmtd1,24.0,2.851607656477773,1.0966524459392488,-0.9950338999430338,9
6,Adhfe1,24.0,1.6800523927421296,0.5438725531631794,-1.8506890932718914,17
7,Vcpip1,16.0,3.215790037781971,1.6078950188909855,-1.539831002553304,14
8,Cops5,24.0,2.828187645079976,0.8548756713743676,-0.9256237347920736,8
9,Arfgef1,18.0,2.137813168565689,0.914982140869845,-1.7810352643330891,15
10,Ncoa2,16.0,2.1548531246039966,1.0774265623019983,-1.5986472765604656,2
11,Tram1,12.0,3.7078878113802514,1.8539439056901257,-0.978546937306722,2
12,Lactb2,22.0,1.0136344990790307,0.378053488167535,-1.4465665817260742,3
13,Rpl7,16.0,3.6733672437338503,1.8366836218669251,-1.7332005500793457,9
14,Tmem70,24.0,3.411966339501399,1.10967812081412,-1.3853254318237305,18
15,Gsta3,24.0,3.4333226830611103,1.078150013443106,-1.220604419708252,20
16,Lmbrd1,24.0,1.67050699711544,0.6068321771993208,-1.107946554819743,10
17,Phf3,24.0,2.6117390062011006,0.9616676496584344,-1.4031694730122883,14
18,Dst,24.0,3.4818852177904813,1.1273385806701224,-0.24348576863606772,15
19,Fam168b,18.0,4.148140310573346,1.7730326038941897,-1.5726569493611653,17
20,Hs6st1,24.0,5.538548792206279,1.826092004956546,-0.04561742146809896,10
21,Uggt1,12.0,2.873232395043319,1.4366161975216596,-1.1150976816813152,2
22,Kansl3,24.0,3.069135043139437,1.1876894918557168,-0.4041922887166341,9
23,Cox5b,16.0,3.3339632320326205,1.6669816160163102,-1.0955745379130046,9
24,Actr1b,12.0,0.998887648169548,0.499443824084774,-1.963783582051595,6
25,Tmem131,16.0,1.7273138779523507,0.8166261661690056,-1.7707227071126301,13
26,Coa5,24.0,2.638088762312694,1.0789224382267033,-0.7369441986083984,15
27,Mrpl30,16.0,2.526441788183545,1.2632208940917724,-1.5001336733500164,9
28,Txndc9,12.0,2.774304735096713,1.3871523675483566,-1.4307475090026855,11
29,Eif5b,12.0,1.9260028108054128,0.9630014054027064,-1.1980264981587727,12
30,Rpl31,16.0,4.541082398848226,2.270541199424113,-1.0793585777282715,9
31,Rnf149,24.0,1.8472629833286307,0.5982221551030488,-0.669581413269043,2
32,Tgfbrap1,24.0,1.3923425537943754,0.45230026912677207,-1.0975891749064128,15
33,Tpp2,12.0,2.666288362290285,1.3331441811451425,-1.0788086255391438,1
34,Slc40a1,24.0,1.6479199735683308,0.5935196785334534,-0.823405901590983,8
35,Myo1b,24.0,2.1127957701129345,0.6375838466070141,-0.8910940488179525,23
36,Stat1,10.0,0.8187410938971517,0.3175105242137796,-1.9283960660298665,7
37,Nab1,22.0,3.010675907234153,1.0145237607021176,-1.0618348121643066,13
38,Hibch,24.0,5.078172700601471,1.8554126018838417,-0.4834756851196289,9
39,Sf3b1,24.0,2.8025393007130717,0.849426118730024,-0.8273466428120931,9
40,Hspd1,24.0,4.35930883865423,1.615685038545402,-0.117401123046875,16
41,Hspe1,24.0,3.3050741869732128,1.15090010506668,-0.19920015335083008,16
42,Aox1,24.0,3.0840282773361176,0.9563546792450058,-0.826329231262207,3
43,Aox3,24.0,2.562951350257656,1.02779694404779,-0.17351977030436197,3
44,Bzw1,24.0,1.233789042416317,0.46827787194684517,-1.405189037322998,14
45,Clk1,24.0,3.427139079027801,1.0072642862894698,-0.5535566012064616,6
46,Ndufb3,16.0,0.8960021085295755,0.44800105426478776,-1.569674015045166,9
47,Cflar,12.0,1.3827256899308946,0.6913628449654473,-1.0088669459025066,1
48,Stradb,24.0,2.3448950259206094,0.9053587376087768,-0.4559205373128255,8
49,Als2,24.0,3.173372176762173,1.1790225032796975,-0.02249256769816081,19
50,Bmpr2,18.0,3.3555812262646043,1.3360430523199072,-1.6068641344706218,16
51,Raph1,12.0,1.5087143044077664,0.7543571522038832,-1.2139344215393066,2
52,Ndufs1,12.0,3.173304696141237,1.5866523480706185,-1.6720725695292156,6
53,Eef1b2,16.0,2.828647712773342,1.414323856386671,-1.3904476165771484,10
54,Idh1,16.0,1.7404270751010376,0.8318857041862294,-1.474614143371582,2
55,Acadl,24.0,5.348819948091424,1.6858809041180944,-1.2555249532063801,8
56,Cps1,22.0,3.0450489157321563,1.1804451790323818,-1.3270998001098633,19
57,Fn1,16.0,4.867300212132673,2.4336501060663367,-0.9449396133422852,14
58,Pecr,12.0,1.4393766078165136,0.7196883039082568,-1.653738021850586,6
59,Rpl37a,16.0,2.895684427279428,1.447842213639714,-1.1862366994222004,9
60,Igfbp2,16.0,1.0011322774217841,0.5005661387108921,-1.4843594233194988,10
61,Tns1,24.0,2.9990330175482027,0.8918427594702211,-1.7740435600280762,17
62,Arpc2,24.0,1.8429135121778037,0.6356468381574149,-1.1761515935262044,12
63,Aamp,24.0,3.245128639735477,1.2486274909522417,-1.0111746788024902,9
64,Pnkd,24.0,4.911545561855889,1.879803891742283,1.074803113937378,22
65,Tmbim1,24.0,1.387792794833525,0.5633045060240298,-0.7917278607686361,6
66,Ctdsp1,24.0,1.0809956300491914,0.3922795485623597,-0.861907958984375,3
67,Ttll4,24.0,1.7075148804896236,0.6169292359720467,-1.282618522644043,15
68,Cyp27a1,14.0,1.818686064291547,0.9093430321457735,-1.8833743731180828,1
69,Cnppd1,24.0,3.495661726266836,1.466769103446858,0.11844031016031902,7
70,Retreg2,24.0,2.838660843392775,0.9058024771727958,0.05588738123575846,8
71,Zfand2b,22.0,4.2006860668401345,1.6266147669650057,-1.279335339864095,9
72,Abcb6,24.0,3.626176520581384,1.4004093037743106,-1.371747334798177,9
73,Atg9a,24.0,4.0519182826215205,1.4079431013323223,-0.972043514251709,8
74,Stk16,24.0,1.6482377762427345,0.595746697713206,-1.2644503911336262,19
75,Tuba4a,24.0,3.5344130322366905,1.2840789637530814,0.47756171226501465,1
76,Dnajb2,24.0,2.7574606751461688,0.8594471435363185,-0.9261600176493326,24
77,Dnpep,24.0,1.3585341774418158,0.5304390157755603,-0.9714531898498535,3
78,Farsb,24.0,4.498794233544827,1.8171105893204118,-0.8476983706156412,16
79,Cul3,24.0,3.4732830358905384,1.0426594083173122,-1.648766040802002,7
80,Pid1,24.0,4.6118349076335,1.9534855744899944,0.4872881571451823,24
81,Trip12,18.0,1.623338425467742,0.7421369576581064,-1.8148729006449382,16
82,Cab39,18.0,2.6782552959450454,1.150547183620074,-1.4410940806070964,17
83,Itm2c,24.0,3.6465133949111506,1.1346423916349642,-1.480007489522298,4
84,2810459M11Rik,24.0,2.7663415068192823,0.9423218874557172,-0.9875160853068033,2
85,Psmd1,24.0,2.589425148704452,1.020314461779218,-0.24945704142252603,2
86,Ncl,24.0,3.715458040106405,1.6067150378889574,0.36781493822733563,12
87,Ptma,24.0,2.3145445001069294,0.7684699415446047,-1.3993789354960124,16
88,Eif4e2,24.0,1.0175560096370504,0.3901557620733325,-1.2122273445129395,12
89,Gigyf2,22.0,2.2821023479410694,0.773618200423236,-1.6618582407633464,20
90,Ngef,24.0,3.93321993889606,1.6887605468804479,0.6966233253479004,10
91,Atg16l1,12.0,2.7796052197572725,1.3898026098786362,-0.6041509310404459,10
92,Usp40,24.0,1.9089787474719324,0.634447850879023,-1.7056069374084473,12
93,Ugt1a6b,16.0,4.742511315092085,2.3712556575460426,-0.2990671793619792,5
94,Ugt1a1,16.0,2.891458102285181,1.4457290511425904,-1.0756886800130208,4
95,Hjurp,24.0,4.3365896878612595,1.7164986206515223,0.022689342498779297,8
96,Spp2,12.0,2.25586462281166,1.12793231140583,-1.7278327941894531,7
97,Lrrfip1,20.0,2.387137724713274,1.193568862356637,-1.8447364171346028,6
98,Ube2f,24.0,4.301234706999912,1.6624352604693324,-0.07175763448079427,14
99,Scly,24.0,3.054728769869908,1.192520331393721,-0.2496480941772461,3
100,Ilkap,12.0,4.191960770360333,2.0959803851801664,-1.8370121320088704,11
101,Hes6,12.0,1.3797431633852693,0.6898715816926346,-0.9920749664306641,1
