,Gene_ID,Period,Period_null,Lengthscale,Lengthscale_null,Var,Var_null,Noise,Noise_null
0,Mrpl15,24.0,300.0,3.12930965423584,8.48542594909668,0.5832959413528442,0.05000000074505806,0.14437538385391235,0.9945922493934631
1,Lypla1,20.0,300.0,2.2814488410949707,8.0,0.21647204458713531,0.05000000074505806,0.14168661832809448,0.995669960975647
2,Tcea1,12.0,300.0,2.0,8.245780944824219,1.0760257244110107,0.05000000074505806,0.1290675848722458,0.9990215301513672
3,Atp6v1h,18.0,300.0,2.463724136352539,8.4696626663208,0.3777681291103363,0.05000000074505806,0.14235825836658478,0.9949363470077515
4,Rb1cc1,24.0,300.0,3.143862724304199,8.0,0.5955289602279663,0.05000000074505806,0.13627281785011292,0.9936555027961731
5,Pcmtd1,24.0,300.0,2.6002838611602783,8.426920890808105,1.0703575611114502,0.05000000074505806,0.13162831962108612,0.9960211515426636
6,Adhfe1,24.0,300.0,3.089055299758911,8.0,0.4054546654224396,0.05000000074505806,0.14364702999591827,0.9914767742156982
7,Vcpip1,16.0,300.0,2.0,8.0,1.2881637811660767,0.05000000074505806,0.12456490844488144,0.9894245266914368
8,Cops5,24.0,300.0,3.308302879333496,8.0,1.119879961013794,0.05000000074505806,0.14000870287418365,0.9972556233406067
9,Arfgef1,18.0,300.0,2.336453437805176,8.0,0.5815470814704895,0.05000000074505806,0.12724636495113373,0.9917422533035278
10,Ncoa2,16.0,300.0,2.0,8.174273490905762,0.6083623170852661,0.05000000074505806,0.1310167908668518,0.9900718331336975
11,Tram1,12.0,300.0,2.0,8.270636558532715,1.5362180471420288,0.05000000074505806,0.1117376908659935,0.993282675743103
12,Lactb2,22.0,300.0,2.6811933517456055,8.818039894104004,0.14229431748390198,0.05000000074505806,0.13849203288555145,0.9884476065635681
13,Rpl7,16.0,300.0,2.0,8.0,1.4244956970214844,0.05000000074505806,0.1055680364370346,0.9935387969017029
14,Tmem70,24.0,300.0,3.074735164642334,8.0,1.6009174585342407,0.05000000074505806,0.13751797378063202,0.9918574094772339
15,Gsta3,24.0,300.0,3.184457302093506,8.0,1.6032549142837524,0.05000000074505806,0.1360107809305191,0.9942799210548401
16,Lmbrd1,24.0,300.0,2.7528319358825684,8.31805419921875,0.36378055810928345,0.05000000074505806,0.13035956025123596,0.9951303601264954
17,Phf3,24.0,300.0,2.715843677520752,8.113204956054688,0.972162663936615,0.05000000074505806,0.14252117276191711,0.9996726512908936
18,Dst,24.0,300.0,3.0885887145996094,8.0,1.6341602802276611,0.05000000074505806,0.1347925066947937,0.992523729801178
